Fecha,Hora,Persona,Mensaje
"28/5/19,",11:35:55,Maria U-tad,Quedamos en Moncloa u otro sitio que os pille más cerca?
"28/5/19,",11:36:49,Sil🐨,A qué hora tú estarías
"28/5/19,",11:36:51,Sil🐨,?
"28/5/19,",11:37:01,Sil🐨,Porque nose cuánto vamos a tardar nosotros
"28/5/19,",11:37:13,Sil🐨,Moncloa está bien
"28/5/19,",11:38:14,Maria U-tad,"Pueeees yo creo que a las 15 y pico ya he terminado de comer, y tardo como media hora en llegar"
"28/5/19,",11:38:25,Maria U-tad,"Estaría como a las 16 y pico o así, supongo"
"28/5/19,",11:38:37,Maria U-tad,Depende también del tráfico y como me pille el bus de hora
"28/5/19,",11:39:41,Sil🐨,Valee pues cuando terminemos te avisamos y sales ?
"28/5/19,",11:40:13,Maria U-tad,Oka 👌🏻
"28/5/19,",15:47:54,Maria U-tad,Oye que al final no voy a comer con ellos xD mi hermano se ha puesto malo
"28/5/19,",15:47:56,Maria U-tad,Así que nah
"28/5/19,",15:48:41,Maria U-tad,"Solo os iba a preguntar si ya que vamos a Alcorcón, voy a ver si un tipo al que quería comprarle la tableta me la puede llevar allí, os importa si le digo de comprarla después de que comamos?"
"28/5/19,",15:48:49,Maria U-tad,"Que no quiero ir sola, vaya"
"28/5/19,",16:05:51,Sil🐨,A mí no me importa
"28/5/19,",16:06:01,Sil🐨,Pero ahora a un problema de coche
"28/5/19,",16:06:05,Sil🐨,Jajajajaja
"28/5/19,",16:06:18,Sil🐨,Donde metemos a los Jorges ?
"28/5/19,",16:06:36,Maria U-tad,Lul no sabía que venían
"28/5/19,",16:06:48,Sil🐨,Se han apuntado
"28/5/19,",16:07:09,Sil🐨,Básicamente Jorge gafas ha dado la idea de comer en Alcorcón
"28/5/19,",16:07:20,Sil🐨,Y nose sii alguno más irá
"28/5/19,",16:07:26,Sil🐨,Porque no han dicho nada
"28/5/19,",16:08:38,Sil🐨,Eso digo yo
"28/5/19,",16:08:43,Sil🐨,Jajajajaja
"28/5/19,",16:09:06,Sil🐨,Maria queda con él en la estación de renfe de las retamas
"28/5/19,",16:09:09,Maria U-tad,"Pues nada, dejo lo de la tableta para otra ocasión pero si voy a comer con vosotros comemos más cerca o por Madrid y ya no?"
"28/5/19,",16:09:26,Maria U-tad,"Nada, tú por eso no te ralles"
"28/5/19,",16:09:31,Maria U-tad,Que es problema mío xd
"28/5/19,",16:09:42,Lara U-tad,A comer vamos a Alcorcón
"28/5/19,",16:09:43,Lara U-tad,A comer
"28/5/19,",16:10:00,Lara U-tad,Burguerss
"28/5/19,",16:11:15,Maria U-tad,Ya si lo digo por si cabemos todos o no en el coche xD
"28/5/19,",16:11:25,Maria U-tad,Que como ha dicho Lara mazo gente
"28/5/19,",16:12:02,Sil🐨,Ya 😅
"28/5/19,",16:12:11,Sil🐨,Pues al maletero
"28/5/19,",16:12:14,Sil🐨,Jajajajaja
"28/5/19,",16:12:27,Maria U-tad,xD jajajaja
"28/5/19,",16:13:14,Maria U-tad,Pues le hacemos presión social a Carlos para que venga
"28/5/19,",16:13:15,Maria U-tad,Con su coche
"28/5/19,",16:13:49,Sil🐨,Jajajajaja esq si va choflas
"28/5/19,",16:13:53,Sil🐨,El otro le anima
"28/5/19,",16:14:05,Sil🐨,Pero sino va pocas posibilidades veo
"28/5/19,",16:27:27,Maria U-tad,"Nada tía que lo de la tableta lo dejo para otro momento, que a este hombre le tengo que avisar con un poco de tiempo"
"28/5/19,",16:27:35,Maria U-tad,Que si no le vuelvo loco
"28/5/19,",16:31:23,Sil🐨,Valee tia
"28/5/19,",16:31:54,Maria U-tad,"Lo de comer con vosotros se mantiene, que me apetece"
"28/5/19,",16:32:12,Maria U-tad,"A ver si se vienen estos, que estaría guay"
"28/5/19,",23:32:02,Lara U-tad,"Vais mañana a clase? Y si es un si, a qué hora?"
"28/5/19,",23:35:15,Ting Chen U-tad,A las 11:30 así
"29/5/19,",7:02:03,Sil🐨,Yo voy pronto
"29/5/19,",16:56:31,Ting Chen U-tad,Te esperamos aquí dentro
"29/5/19,",16:56:47,Maria U-tad,"Ok, ya vamos"
"31/5/19,",14:30:52,Maria U-tad,A alguien le apetecería ir a la feria del libro?
"31/5/19,",14:31:13,Maria U-tad,En la tele ponía que ya había empezaso
"31/5/19,",14:31:15,Maria U-tad,*empezado
"31/5/19,",14:31:50,Sil🐨,Cuando tienes pensado ir?
"31/5/19,",14:36:26,Maria U-tad,Ni idea
"31/5/19,",14:37:09,Maria U-tad,"Voy a ver las firmas que hay y eso, si me interesa alguna de un día concreto pues ese día"
"31/5/19,",14:37:12,Maria U-tad,Sino me da un poco igual
"31/5/19,",14:47:53,Sil🐨,Por mi me apunto
"31/5/19,",15:16:26,Maria U-tad,Este finde yo puedo mañana por la mañana
"31/5/19,",15:21:45,Sil🐨,Yo mañana no puedo tengo comunión
"31/5/19,",15:31:17,Maria U-tad,Oh vaya
"31/5/19,",15:31:37,Maria U-tad,El domingo yo curro hasta las 16 y tengo que comer y eso
"31/5/19,",15:41:48,Lara U-tad,"Yo no creo que vaya, estoy agotada y quiero relax en mi vida, ya me contaréis como os ha ido!"
"31/5/19,",15:42:01,Lara U-tad,Y podemos planear alguna quedada para otro día sino
"31/5/19,",15:52:28,Maria U-tad,Oka 👌🏻👌🏻
"31/5/19,",15:53:32,Ting Chen U-tad,Si mejor
"5/6/19,",12:21:46,Maria U-tad,Silvia y yo vamos mañana a Akira comics y luego a ver tiendas a un centro comercial que está al lado
"5/6/19,",12:21:56,Maria U-tad,Alguien más se apunta
"5/6/19,",12:21:57,Maria U-tad,?
"5/6/19,",12:22:08,Sil🐨,Eso eso
"5/6/19,",12:22:13,Sil🐨,😏😏
"5/6/19,",12:42:40,Lara U-tad,Dónde está eso de Akira cómics
"5/6/19,",12:43:02,Maria U-tad,Al lado de la vaguada
"5/6/19,",12:43:20,Maria U-tad,Es coger un bus desde Moncloa
"5/6/19,",12:45:49,Lara U-tad,Pues si quedamos en Moncloa me apuntoo
"5/6/19,",12:45:53,Lara U-tad,Pero por la tarde no?
"5/6/19,",12:47:45,Sil🐨,Sii por la tarde
"5/6/19,",12:49:14,Lara U-tad,Pues me parece bieen
"5/6/19,",13:07:52,Ting Chen U-tad,Y yo
"5/6/19,",13:07:58,Ting Chen U-tad,😂😂😂
"5/6/19,",13:08:04,Maria U-tad,Mu bien
"5/6/19,",13:08:17,Maria U-tad,Le hemos preguntado a Jorge también si quiere
"5/6/19,",13:16:29,Sil🐨,Se viene también
"5/6/19,",13:30:33,Lara U-tad,Perfee
"5/6/19,",16:53:17,Maria U-tad,‎Maria U-tad cambió la imagen de este grupo.
"5/6/19,",17:03:17,Maria U-tad,Oye y a qué hora en Moncloa?
"5/6/19,",17:04:07,Maria U-tad,El plan en principio era ir a Akira comics y luego a la vaguada que está al lado a por un cafelito y ver tiendas si os apetece
"5/6/19,",17:10:53,Ting Chen U-tad,A mi me parece bien
"5/6/19,",17:11:13,Ting Chen U-tad,No se me da igual
"5/6/19,",17:11:16,Ting Chen U-tad,😌😂
"5/6/19,",17:22:08,Maria U-tad,xD
"5/6/19,",18:31:05,Sil🐨,Tenéis que estar pronto en casa?
"5/6/19,",18:31:15,Sil🐨,Para la hora
"5/6/19,",18:31:27,Maria U-tad,Yo sí que en mi casa todo el mundo trabaja
"5/6/19,",18:31:31,Lara U-tad,Con tal de estar a las 11:30 en moncloa
"5/6/19,",18:31:55,Sil🐨,Entonces a qué hora quedamos?
"5/6/19,",18:32:05,Lara U-tad,No se
"5/6/19,",18:32:07,Sil🐨,A mí me da igual
"5/6/19,",18:32:12,Sil🐨,5?
"5/6/19,",18:32:13,Ting Chen U-tad,A las 6?
"5/6/19,",18:32:18,Sil🐨,Mejor
"5/6/19,",18:32:21,Sil🐨,Menos calor
"5/6/19,",18:32:41,Ting Chen U-tad,Venga
"5/6/19,",18:33:46,Maria U-tad,Con pronto quiero decir que me tengo que estar a las 21 en Moncloa como muy tarde
"5/6/19,",18:34:01,Maria U-tad,Y pa 2h no sé si iría
"5/6/19,",18:34:11,Lara U-tad,A las 5?
"5/6/19,",18:34:19,Sil🐨,Pues antes
"5/6/19,",18:34:18,Ting Chen U-tad,También
"5/6/19,",18:34:25,Sil🐨,Y ya está
"5/6/19,",18:35:53,Maria U-tad,Si pls
"5/6/19,",18:35:54,Maria U-tad,Grachiaaaas
"5/6/19,",20:25:34,Sil🐨,Pues entonces a las 5 no?
"5/6/19,",20:25:48,Maria U-tad,Sep
"5/6/19,",20:26:12,Ting Chen U-tad,Ok
"5/6/19,",20:41:21,Sil🐨,Okele
"6/6/19,",15:36:09,Lara U-tad,"Nenis, a lo mejor llegó a y 10 okey?"
"6/6/19,",15:42:25,Maria U-tad,Oka 👌🏻
"6/6/19,",16:28:33,Maria U-tad,A qué parte de Moncloa vamos? Para no estar cada una en un intercambiador xD
"6/6/19,",16:29:19,Maria U-tad,Oka
"6/6/19,",16:30:12,Sil🐨,Yo no se donde es eso pero lo intento
"6/6/19,",16:30:19,Sil🐨,😔✌🏻
"6/6/19,",16:30:30,Ting Chen U-tad,Yo tampoco
"6/6/19,",16:30:37,Ting Chen U-tad,No te preocupes 😂😂😂
"6/6/19,",16:30:37,Maria U-tad,Vaya
"6/6/19,",16:30:43,Maria U-tad,Espera que busco foto xD
"6/6/19,",16:30:57,Sil🐨,JAJAJAJAJA
"6/6/19,",16:31:21,Sil🐨,es según salir del metro?
"6/6/19,",16:31:24,Sil🐨,O fuera
"6/6/19,",16:32:12,Maria U-tad,Fuera
"6/6/19,",16:32:27,Maria U-tad,Yo entiendo que las que dice Lara son estas
"6/6/19,",16:32:33,Ting Chen U-tad,Si
"6/6/19,",16:32:35,Maria U-tad,Justo ahí a la derecha
"6/6/19,",16:32:36,Ting Chen U-tad,Vale
"6/6/19,",16:33:01,Sil🐨,Valee creo que he estado alguna vez
"6/6/19,",16:33:51,Lara U-tad,Sii
"6/6/19,",16:34:03,Lara U-tad,Jo Silvia
"6/6/19,",16:34:09,Lara U-tad,Menos coche y más buses eh 😂
"6/6/19,",16:34:13,Sil🐨,Jajajajaja
"6/6/19,",16:34:18,Sil🐨,La verdad
"6/6/19,",16:34:19,Maria U-tad,Es que es una burguesa
"6/6/19,",16:34:24,Maria U-tad,Va en coche
"6/6/19,",16:34:27,Sil🐨,Ya me entenderás cuando tengas carnet
"6/6/19,",16:35:15,Lara U-tad,😂😂
"6/6/19,",16:36:28,Maria U-tad,Jorge venía al final no?
"6/6/19,",16:36:33,Maria U-tad,Por decírselo a él también
"6/6/19,",16:36:38,Lara U-tad,No se
"6/6/19,",16:36:41,Lara U-tad,Preguntale
"6/6/19,",16:39:51,Ting Chen U-tad,Una pregunta ibas a las clases para las explicaciones o algo?
"6/6/19,",16:40:15,Lara U-tad,Mi hermana no fue a clases para nada eh
"6/6/19,",16:40:43,Sil🐨,Yo me hice dos intensivos pero porque era verano y tenía tiempo
"6/6/19,",16:41:02,Sil🐨,Tampoco hacen gran cosa
"6/6/19,",16:41:24,Sil🐨,Pero bueno se te quedan cositas tontas de escucharlo
"6/6/19,",16:41:31,Sil🐨,Pero lo mejor es hacer test
"6/6/19,",16:42:14,Ting Chen U-tad,Vale
"6/6/19,",16:42:19,Ting Chen U-tad,Chicas voy a llegar tarde
"6/6/19,",16:42:41,Sil🐨,Yo creo que también
"6/6/19,",16:42:46,Sil🐨,Pero a lo mejor llego bien
"6/6/19,",16:42:45,Maria U-tad,Poor?
"6/6/19,",16:42:53,Sil🐨,Dependiendo del tráfico
"6/6/19,",16:42:58,Maria U-tad,Oh vaya
"6/6/19,",16:43:14,Sil🐨,Esq voy en bus
"6/6/19,",16:44:57,Maria U-tad,Y yo xD pero en mi pueblo o llego 10 min pronto o llego 4h tarde
"6/6/19,",16:45:03,Maria U-tad,Por la mierda de horarios de los buses
"6/6/19,",16:45:15,Maria U-tad,(y casi mejor pronto)
"6/6/19,",16:45:47,Sil🐨,Yo creo que sii llegó pero por sii acaso
"6/6/19,",16:46:04,Lara U-tad,A ver yo ya he dicho que llegaré como a y 10 creo
"6/6/19,",16:46:16,Sil🐨,No pasa nada
"6/6/19,",16:46:23,Sil🐨,Allí estaremos
"6/6/19,",16:46:27,Sil🐨,😊
"6/6/19,",16:46:56,Maria U-tad,"Nah si me da igual esperar, no os ralleis"
"6/6/19,",16:47:06,Maria U-tad,Que tampoco pasa nah xD
"6/6/19,",16:47:19,Maria U-tad,Ojalá poder controlar el transporte público pero como no se puede pues mira
"6/6/19,",16:50:26,Ting Chen U-tad,Y yo en metro porq he salido de mi casa tarde 😀🤦🏻‍♀
"6/6/19,",16:50:54,Lara U-tad,"Mal ting, mal"
"6/6/19,",16:51:13,Ting Chen U-tad,Espera eh creo q llego bien
"6/6/19,",16:51:20,Ting Chen U-tad,😂😂😂😂
"6/6/19,",16:53:57,Sil🐨,A mí este le faltan 3 min
"6/6/19,",16:54:20,Lara U-tad,Tu tío pues yo sigo por torre aun
"6/6/19,",16:54:24,Lara U-tad,Pero que pasa
"6/6/19,",16:54:30,Lara U-tad,A lo mejor llegó a y 15😂
"6/6/19,",16:54:58,Maria U-tad,Oka xD
"6/6/19,",16:55:07,Sil🐨,Valee
"6/6/19,",16:55:11,Maria U-tad,Qué bien te explicas
"6/6/19,",16:55:34,Sil🐨,No me negarás que te encanta
"6/6/19,",16:55:37,Lara U-tad,Dios tengo mazo ganas de ir a ver comics
"6/6/19,",16:55:48,Maria U-tad,Obvio 💁🏽‍♀
"6/6/19,",16:56:04,Sil🐨,Pues sii
"6/6/19,",16:56:16,Maria U-tad,Es que son como 9€ la hora xD
"6/6/19,",16:56:26,Sil🐨,Que dices
"6/6/19,",16:56:32,Lara U-tad,Cómo que la hora?
"6/6/19,",16:56:45,Maria U-tad,0.15 el minuto
"6/6/19,",16:56:53,Maria U-tad,x60 son 9€
"6/6/19,",16:57:01,Lara U-tad,Cómo que el minuto?
"6/6/19,",16:57:09,Lara U-tad,Pero wtf
"6/6/19,",16:57:15,Maria U-tad,Patinetes eléctricos que puedes alquilar por minuto
"6/6/19,",16:57:19,Maria U-tad,Para ir por los Madriles
"6/6/19,",16:57:21,Lara U-tad,Ah coño
"6/6/19,",16:57:22,Maria U-tad,Van folladisimos
"6/6/19,",16:57:44,Lara U-tad,Creía que decía que en la tienda de cómics te cobraban 9 lereles por estar una hora
"6/6/19,",16:57:47,Lara U-tad,Me cago en dios
"6/6/19,",16:57:51,Maria U-tad,Que va tía xD
"6/6/19,",16:57:58,Maria U-tad,Si encima cobraran por entrar no iba
"6/6/19,",16:58:09,Lara U-tad,😂😂😂
"6/6/19,",16:58:20,Sil🐨,Me queda una parada para llegar
"6/6/19,",16:58:31,Maria U-tad,:D
"6/6/19,",16:58:39,Maria U-tad,"Si me ves llevo cascos, gafas y estoy dibujando"
"6/6/19,",16:58:40,Maria U-tad,Osea
"6/6/19,",16:58:43,Maria U-tad,No me entero de nada
"6/6/19,",16:58:51,Maria U-tad,No me llames de lejos que lo te voy a escuchar xD
"6/6/19,",16:58:54,Lara U-tad,"Silvia no creo que haga falta que informes cada movimiento, con que llegues nos vale 😂😂😂"
"6/6/19,",16:58:56,Lara U-tad,❤
"6/6/19,",16:59:23,Maria U-tad,Es necesario para mi que así se cuánto me queda de estar aquí sola xD
"6/6/19,",16:59:51,Lara U-tad,Ah bueno entonces adelante 😂
"6/6/19,",16:59:56,Sil🐨,Por eso lo hago
"6/6/19,",17:00:01,Sil🐨,Jajajajaja
"6/6/19,",17:00:16,Sil🐨,Valee maria está atenta ahora que he llegado
"6/6/19,",17:01:28,Maria U-tad,Nah bueno ya estoy con jorge
"6/6/19,",17:01:51,Lara U-tad,"Eso María, si ves a una chica pérdida sin saber dónde ir, es Silvia 😂"
"6/6/19,",17:02:08,Ting Chen U-tad,😂😂😂😂
"6/6/19,",17:02:09,Sil🐨,Eso
"6/6/19,",17:02:13,Ting Chen U-tad,o Ting
"6/6/19,",17:02:20,Maria U-tad,XD
"6/6/19,",17:04:06,Lara U-tad,Oye pero al final estáis en las escaleras o arribita del todo?
"6/6/19,",17:04:37,Maria U-tad,Arriba de las escaleras en la sombrita
"6/6/19,",17:05:18,Ting Chen U-tad,Llego
"6/6/19,",17:11:08,Lara U-tad,Yo ya estoy casi
"6/6/19,",17:11:13,Maria U-tad,Oka
"6/6/19,",17:11:21,Maria U-tad,Ting dice que está pero no sabe por dónde salir 😂
"6/6/19,",17:11:34,Lara U-tad,Ting donde estás
"6/6/19,",17:11:58,Lara U-tad,"Ni, si al final llegó yo antes que ella"
"6/6/19,",17:12:28,Ting Chen U-tad,Eh
"6/6/19,",17:12:33,Ting Chen U-tad,Q ya estoy con ellas
"6/6/19,",17:12:35,Ting Chen U-tad,Toma
"6/6/19,",17:12:37,Ting Chen U-tad,Perra
"6/6/19,",17:12:39,Lara U-tad,😂😂😂😂😂
"6/6/19,",17:12:49,Lara U-tad,Relaja la raja guapa
"6/6/19,",17:12:51,Lara U-tad,Nono
"6/6/19,",17:12:52,Lara U-tad,Wapa
"6/6/19,",17:13:08,Ting Chen U-tad,😂😂😂😂😂😂
"6/6/19,",20:33:53,Maria U-tad,Tú que tengo a Jariego en el bus
"6/6/19,",20:34:05,Maria U-tad,Delante a la derecha 😂😂
"6/6/19,",20:34:26,Maria U-tad,😂😂😂
"6/6/19,",20:34:47,Maria U-tad,Estaba sobado hasta que le ha sonado el móvil y ya se ha despertao
"7/6/19,",8:58:20,Maria U-tad,Me dijo Jariego que tenía que corregir exámenes y apuntes
"7/6/19,",8:58:28,Maria U-tad,Que ni los había mirao
"7/6/19,",14:53:11,Lara U-tad,oye una cosita
"7/6/19,",14:53:46,Lara U-tad,"El juego de cartas contra la humanidad, sabéis dónde comprarlo? La edición española?"
"7/6/19,",14:53:55,Lara U-tad,Porque me ha venido pero en inglés y kk
"7/6/19,",14:56:15,Maria U-tad,Vaya
"7/6/19,",14:56:20,Maria U-tad,Pues no lo sé
"7/6/19,",14:56:26,Maria U-tad,En Amazon España no está?
"7/6/19,",14:56:33,Maria U-tad,O solo esta en inglés
"7/6/19,",14:56:50,Lara U-tad,"Es que me dicen que solo se vende la edición en inglés, pero si en la cafetería está la tenían en español?"
"7/6/19,",14:57:21,Maria U-tad,🤔
"7/6/19,",14:58:04,Ting Chen U-tad,Así aprendes inglés
"7/6/19,",14:58:35,Lara U-tad,"Ya bueno, pero no"
"7/6/19,",14:59:14,Ting Chen U-tad,😂😂😂😂
"7/6/19,",15:20:56,Maria U-tad,Habla la que pone inglés avanzado en el curri 😂😂😂
"7/6/19,",15:21:37,Ting Chen U-tad,Eh q lo he cambiado a intermedio 😂😂😂😂😂😂😂
"7/6/19,",15:38:05,Lara U-tad,😂😂
"7/6/19,",15:38:16,Lara U-tad,Entonces no sabéis ningún sitio no?
"7/6/19,",15:38:28,Lara U-tad,Creéis que lo podrían vender en alguna tienda de juegos de Madrid?
"7/6/19,",15:48:02,Maria U-tad,Sé que hay una versión en español que se puede descargar gratis
"7/6/19,",15:48:13,Maria U-tad,Pero lo malo es como lo imprimes para que dure algo xD
"7/6/19,",15:48:21,Maria U-tad,Pk yo lo tenía en plan cutre impreso en folios
"7/6/19,",15:48:22,Lara U-tad,Pero yo lo quiero bien hombre 😂
"7/6/19,",15:48:38,Maria U-tad,No encuentro dónde la verdad
"7/6/19,",20:55:35,Ting Chen U-tad,Wtf
"7/6/19,",20:55:37,Ting Chen U-tad,😂😂😂😂
"7/6/19,",21:11:33,Sil🐨,JAJAJAJAJA
"7/6/19,",22:29:57,Lara U-tad,😂😂😂😂
"13/6/19,",21:50:48,Maria U-tad,Oyeeee a alguien le apetece el domingo por la tarde ir a la Madrid Otaku?
"13/6/19,",22:09:12,Lara U-tad,Yo creo que voy a pasar
"13/6/19,",22:09:14,Lara U-tad,Sorry
"13/6/19,",22:09:31,Maria U-tad,Oka 👌🏻no pasa nah
"19/6/19,",21:23:24,Maria U-tad,https://espacio.fundaciontelefonica.com/noticia/abierto-por-vacaciones-verano-2019/?utm_source=comunicacion&utm_medium=boletines&utm_campaign=semana0617019
"19/6/19,",21:23:39,Maria U-tad,Hay uno de narrativa audiovisual de 16 a 25 años y es gratis
"19/6/19,",21:23:45,Maria U-tad,Por si a alguien le interesa
"19/6/19,",21:48:03,Sil🐨,Ese he visto que estaba chulo
"26/6/19,",11:18:19,Maria U-tad,A alguien le apetece ir de marujeo a ver tiendas?
"26/6/19,",12:31:14,Lara U-tad,Yo hoy me voy a Kenia
"26/6/19,",12:31:19,Lara U-tad,Vuelvo el 5
"26/6/19,",12:31:50,Maria U-tad,Oh vaya
"26/6/19,",12:33:05,Maria U-tad,Siempre se puede ir cuando vuelvas si
"26/6/19,",12:54:18,Lara U-tad,Okey perfe
"26/6/19,",12:54:40,Lara U-tad,Pero el 7 no puedo
"26/6/19,",12:54:59,Lara U-tad,Porque acompañado a mi prima a qué se tatue
"26/6/19,",12:55:27,Maria U-tad,Oka 👌🏻
"2/7/19,",19:01:45,Ting Chen U-tad,Oye habéis hecho la matrícula ya?
"2/7/19,",19:10:57,Lara U-tad,Noo cuando vuelva
"2/7/19,",19:11:05,Lara U-tad,Y me explicas cómo la hago😂
"2/7/19,",19:11:23,Ting Chen U-tad,Eso os quería preguntar
"2/7/19,",19:11:27,Ting Chen U-tad,😂😂😂😂😂😂
"2/7/19,",19:12:21,Sil🐨,Yo entendí que se renovaba sola?
"2/7/19,",19:13:05,Ting Chen U-tad,Es q hay una automatricula q nos ha mandado la secretaria
"2/7/19,",19:13:39,Sil🐨,Entonces como va?
"2/7/19,",19:13:45,Sil🐨,Yo tampoco se
"2/7/19,",19:14:08,Sil🐨,Pues habrá que darle ahí no?
"2/7/19,",19:14:52,Ting Chen U-tad,Si pero cuando le doy al botón de valida su matrícula se queda pillada la página
"2/7/19,",19:15:02,Ting Chen U-tad,Pregunto quien habrá hecho la página
"2/7/19,",19:15:19,Sil🐨,Jajajajaja
"2/7/19,",19:15:25,Sil🐨,Los de sistemas seguro
"2/7/19,",19:30:11,Ting Chen U-tad,😂😂😂😂😂
"2/7/19,",19:30:14,Lara U-tad,Jajajajaja
"2/7/19,",19:30:36,Lara U-tad,Mandadle sino un correo a Gema
"2/7/19,",19:30:47,Ting Chen U-tad,También
"3/7/19,",13:54:41,Sil🐨,Pues a mí me ha dejado hacerla
"3/7/19,",14:02:44,Ting Chen U-tad,Caca
"3/7/19,",14:04:50,Ting Chen U-tad,Y te da 6000 y pico el total?
"3/7/19,",14:05:04,Sil🐨,Dio
"3/7/19,",14:05:08,Sil🐨,Sii*
"3/7/19,",14:05:35,Sil🐨,Hablé con los de secretaria y me dijeron que el segundo curso era un poco más barato
"3/7/19,",14:10:27,Ting Chen U-tad,Mejor
"3/7/19,",14:12:24,Maria U-tad,Más le valía que luego en las prácticas a parte de no poder hacerlas que nos paguen estamos pagando la uni xD
"3/7/19,",14:13:48,Sil🐨,Pues sii
"3/7/19,",14:14:15,Sil🐨,Para que luego te metan en el ikea
"3/7/19,",14:14:56,Maria U-tad,Nah pero eso es si puteas a Meritxel
"3/7/19,",14:17:40,Sil🐨,Ya pero no me fio
"3/7/19,",16:23:49,Lara U-tad,😂😂
"5/7/19,",14:59:14,Maria U-tad,"A mí me da 7014, en la automatricula os salía esto?"
"5/7/19,",15:00:03,Maria U-tad,A lo mejor es por pagarlo en mensualidades que me sale más caro pero por saber
"5/7/19,",15:00:20,Sil🐨,Sii tio el otro día me cancelaron la que hice y me ponía que volviera ha hacerlo y me ponía esa cifra
"5/7/19,",15:00:42,Sil🐨,No porque yo lo pago de golpe y me salía lo mismo
"5/7/19,",15:00:47,Maria U-tad,Okay 👌🏻👌🏻👌🏻 graciasss
"5/7/19,",15:00:58,Sil🐨,Nadaa
"5/7/19,",15:06:27,Maria U-tad,"Me da sintax error, ni que fuera esto programación con unity"
"5/7/19,",15:08:57,Sil🐨,😂😂😂😂
"9/7/19,",13:04:42,Lara U-tad,Y habéis cogido todas las asignaturas?
"9/7/19,",13:06:00,Lara U-tad,"Help please, soy muy desconfiada de mi para esto😂"
"9/7/19,",13:29:53,Maria U-tad,A mí es que me da error todo el rato y estoy esperando a que me llamen de vuelta para ver qué hago 😂
"9/7/19,",14:28:39,Lara U-tad,Pero cogéis todas las asignaturas que os ponen no?
"9/7/19,",14:28:50,Ting Chen U-tad,Si
"9/7/19,",14:28:55,Maria U-tad,"Sep, todas las que pone que son de 2o"
"9/7/19,",14:29:02,Maria U-tad,Que son todas
"9/7/19,",14:33:18,Sil🐨,No te sale nada de exportar
"9/7/19,",14:33:19,Sil🐨,??
"9/7/19,",14:33:32,Sil🐨,A mí me dio un pdf de la matrícula
"9/7/19,",14:38:17,Lara U-tad,No
"9/7/19,",14:43:35,Lara U-tad,Ya la tengoo
"9/7/19,",14:43:38,Lara U-tad,👌🏿
"10/7/19,",14:36:36,Maria U-tad,"Oye, lo del Aquópolis que dijeron estos al final? xD"
"10/7/19,",14:36:41,Maria U-tad,Que me he acordado así de repente
"10/7/19,",15:01:31,Maria U-tad,Que putos
"10/7/19,",15:53:25,Lara U-tad,Pues si
