Fecha,Hora,Persona,Mensaje
"18/12/23,",17:09:09,~ Teresa,Te guardo tu merienda pero es chocolate y estoy con la regla o sea que haré lo que pueda 🥲
"18/12/23,",17:09:23,Alana Ironhack,De hecho estaba por escribirles para decirles q me conectaría
"18/12/23,",17:09:52,Alana Ironhack,Aww pobre capi
"18/12/23,",17:10:23,~ Teresa,No me puedo creer que te vayas a perder una segunda parte tan emocionante con el señor de sql
"18/12/23,",17:10:31,Sil🐨,JAJAJAJAJA
"18/12/23,",17:10:37,Alana Ironhack,Estoy en depresión jajaja
"18/12/23,",17:10:38,~ Teresa,"Si eres capaz de seguirlo desde casa con atención, si que te mereces el chocolate"
"18/12/23,",17:10:56,Sil🐨,Jolines te vamos a echar de menos
"18/12/23,",17:11:28,Sil🐨,Va a ser dura la clase de hoy
"18/12/23,",17:11:36,Alana Ironhack,Lo tendré q hacer con palillos en los ojos para no dormir
"18/12/23,",17:12:08,Alana Ironhack,Y yo pero el miércoles nos vemos para darnos un abrazo navideño
"19/12/23,",19:45:29,Alana Ironhack,Capis !!! Mañana va las dos ?
"19/12/23,",19:45:46,Sil🐨,yo sii
"19/12/23,",19:46:14,~ Teresa,Yo creo que no 😫
"19/12/23,",19:46:25,Alana Ironhack,Queeeeeeeeeeeeee??
"19/12/23,",19:46:26,~ Teresa,Michi hija de puta está malita
"19/12/23,",19:46:46,Alana Ironhack,Ay nooo que le pasa ?
"19/12/23,",19:47:01,~ Teresa,"Ya no es hija de puta, y la movida es que tengo que currar en presencial, me han puesto la reunión con RRHH después de comer y me da mucho palo dejarla tanto tiempo sola"
"19/12/23,",19:47:21,Alana Ironhack,Ay pobre nenita
"19/12/23,",19:47:36,~ Teresa,"No sé, anoche comenzó a estar más cariñosa y sobona de lo normal y hoy ya le tengo que andar medio para que beba agua y para que coma…"
"19/12/23,",19:47:47,~ Teresa,Si sigue así pues mañana no se en que momento la llevaré al vete
"19/12/23,",19:48:25,~ Teresa,Lo peor es que mañana es clase del señor y no me voy a enterar de un carajo 🥲
"19/12/23,",19:48:52,Alana Ironhack,Mmm también nada que youtube no te enseñe
"19/12/23,",19:50:57,Alana Ironhack,A qué hora llegas tú Capibara bebé ?
"19/12/23,",19:51:48,Sil🐨,pues yo llegare sobre las 6 creo
"19/12/23,",19:52:06,Sil🐨,esq tengo la reu con rocio pero online
"19/12/23,",19:52:19,Alana Ironhack,Ah ok
"19/12/23,",19:52:39,Alana Ironhack,Bueno Tere nos vas diciendo si vienes o no
"19/12/23,",19:53:15,Sil🐨,que se ponga buena la michi
"19/12/23,",19:53:28,Alana Ironhack,Pobre michi
"19/12/23,",19:54:16,Alana Ironhack,Jajaja
"19/12/23,",20:06:14,~ Teresa,Esa es la actitud 😎
"19/12/23,",20:06:33,~ Teresa,"Si, confío en que solo haya tenido un mal día y ya mañana vuelva a ser una pequeña cabrona"
"19/12/23,",20:08:04,Alana Ironhack,Awww
"19/12/23,",20:13:02,~ Teresa,Pero y eso!?!?! Jajajajaja
"19/12/23,",20:13:15,~ Teresa,Estás preparando alguna clase de soborno o chantaje?
"19/12/23,",20:20:48,Alana Ironhack,Jajaja
"19/12/23,",20:21:45,Sil🐨,JAJAJAJAJAJA
"19/12/23,",20:23:11,Alana Ironhack,Ay amo a Víctor
"19/12/23,",20:23:34,Alana Ironhack,"Esq es tan bueno, es un pan"
"20/12/23,",15:12:28,Alana Ironhack,Cómo está la michi ?
"20/12/23,",16:15:12,~ Teresa,Pues esta mañana llame al veterinario para pedirle cita y me dijo que me fuera a urgencias corriendo
"20/12/23,",16:15:48,~ Teresa,"Llevo toda la mañana con un disgusto tremendo, ahora me escapé del trabajo, la llevé a urgencias y allí me han dicho que no era una urgencia, que me iban a tardar en ver y me iban a cobrar el doble"
"20/12/23,",16:16:07,~ Teresa,Y ahora acabo de llegar con las mismas a mi casa y ahora el gato está comiendo como si no hubiera mañana
"20/12/23,",16:16:21,~ Teresa,Me está volviendo loca de verdad
"20/12/23,",16:22:38,Sil🐨,El Michi poniéndose bueno porque no quiere ir al vete
"20/12/23,",16:22:54,Sil🐨,Entonces ahora está bien?
"20/12/23,",16:23:52,~ Teresa,Sigue más cariñosa de lo normal pero al menos hoy come y bebe
"20/12/23,",16:24:12,~ Teresa,Aun así voy a ver si me dan cita en un veterinario o alguien que lo quiera ver
"20/12/23,",16:27:58,Alana Ironhack,Quizá tenía un mal día y ya jaja
"20/12/23,",17:23:02,~ Teresa,"Hoy da clase Carlos, confirmado por Víctor"
"20/12/23,",17:23:08,~ Teresa,Que dios nos pille confesados
"20/12/23,",17:23:25,Alana Ironhack,Ay no hubiera ido hoy y el lunes si
"20/12/23,",17:23:35,Alana Ironhack,Que pereza
"20/12/23,",18:54:50,Alana Ironhack,Awww q bolita tan linda
"20/12/23,",18:55:01,Alana Ironhack,Encantada con la clase de Carlos
"20/12/23,",18:57:30,Sil🐨,Te ha dado tiempo a hacer foto?
"20/12/23,",18:58:33,Alana Ironhack,Que crack eres
"20/12/23,",18:58:44,Sil🐨,Menos mal
"20/12/23,",18:58:44,~ Teresa,La herramienta de recortes me pilla a mano jajajaja
"20/12/23,",19:08:28,~ Teresa,Estoy haciendo más pantallazos vale?
"20/12/23,",19:08:41,Sil🐨,Valee perfe
"20/12/23,",19:08:59,Sil🐨,Nos ha tocado el día de la música y no me entero de nada
"20/12/23,",19:09:13,Alana Ironhack,Se me cierran los ojos
"20/12/23,",19:35:46,Sil🐨,Tere tienes captura de la práctica anterior
"20/12/23,",19:35:55,Sil🐨,Que me quede a medias
"20/12/23,",19:36:06,~ Teresa,Yes
"20/12/23,",19:36:19,Sil🐨,Puedes pasar plis?
"20/12/23,",19:54:19,Alana Ironhack,😍
"20/12/23,",19:56:11,Alana Ironhack,Si es lo mismo
"20/12/23,",19:56:18,Sil🐨,A mí no me da
"20/12/23,",19:56:22,Alana Ironhack,Que dijo que nos lo va a pasar
"20/12/23,",19:56:27,Alana Ironhack,Pero no se cuando jajaj
"20/12/23,",20:49:08,~ Teresa,Seguís vivas?
"20/12/23,",20:49:29,Alana Ironhack,Digamos que estamos de cuerpo presente
"20/12/23,",20:49:37,Sil🐨,mas o menos
"20/12/23,",20:49:37,Alana Ironhack,Pero nuestra mente está en otro lugar
"20/12/23,",20:49:40,Sil🐨,jaajaaj
"20/12/23,",20:49:41,Alana Ironhack,Lejos de aquí
"20/12/23,",21:11:31,Alana Ironhack,9:11 y ya empieza a preparar para irse
"20/12/23,",21:11:37,Alana Ironhack,Jajaja
"20/12/23,",21:12:21,~ Teresa,"Tres, dos, uno… Capi en casa 😂"
"20/12/23,",21:12:41,Alana Ironhack,Ya ya llegó a su casa
"20/12/23,",21:12:54,Sil🐨,yo si pregunto que no me entere de nada me matan
"20/12/23,",21:16:43,Sil🐨,podemos quedar para hacer los labs
"20/12/23,",21:16:45,Sil🐨,?
"20/12/23,",21:17:14,Alana Ironhack,Por mi siii
"20/12/23,",21:19:24,~ Teresa,Cantando villancicos desde ironhack
"20/12/23,",21:19:58,Sil🐨,ironhack cierra encima
"20/12/23,",21:20:19,Alana Ironhack,Pero nos podemos conectar por slack
"20/12/23,",21:20:27,~ Teresa,Hacemos los labs desde el juanchos
"20/12/23,",21:20:38,Alana Ironhack,Ay siiii
"20/12/23,",21:20:47,Alana Ironhack,Por favor
"20/12/23,",21:27:15,Alana Ironhack,Q ilusa pensando en que tendría días libres del curso
"20/12/23,",21:27:25,Alana Ironhack,Entre los labs que tengo pendientes y esto
"21/12/23,",22:20:54,Alana Ironhack,https://www.instagram.com/p/C1FV1_pSu4x/?igsh=MTc4MmM1YmI2Ng==
"22/12/23,",7:55:17,Sil🐨,Ojalá nosotras en navidad
"22/12/23,",8:28:21,~ Teresa,Ains por favor
"22/12/23,",8:28:54,~ Teresa,"En una semana solo me saldrán capibaras en tiktok, ahora me estoy comiendo todos los vídeos del perro salchicha 😝"
"22/12/23,",8:59:40,Sil🐨,JAJAJAJAJA
"22/12/23,",8:59:59,Alana Ironhack,Jajajaa
"23/12/23,",18:01:46,Sil🐨,chicas
"23/12/23,",18:01:59,Sil🐨,alguna se a puesto con el primer lab?
"23/12/23,",18:02:06,Alana Ironhack,Holiii
"23/12/23,",18:02:08,Sil🐨,estoy muy perdida
"23/12/23,",18:02:13,Alana Ironhack,No la vdd no
"23/12/23,",18:02:19,Alana Ironhack,En la semana me pondré
"23/12/23,",18:03:06,Sil🐨,te quedaste con lo que habia que hacer? esq me acuerdo que dijeron que era toquetear porque ya nos lo pasaban ellos
"23/12/23,",18:03:25,Sil🐨,pero nose lo que hay que subir... seria ejecutar y exportar en .sql?
"23/12/23,",18:04:14,Alana Ironhack,Era correr la query en azure
"23/12/23,",18:04:58,Sil🐨,esq en azure nose ver donde estan las cosas
"23/12/23,",18:07:00,Sil🐨,te acuerdas como se sacaban los .sql?
"23/12/23,",18:09:13,Alana Ironhack,Lo tendría q ver xq así nada más no lo recuerdo
"23/12/23,",18:09:55,Sil🐨,"valee, cuando te pongas avisame"
"23/12/23,",18:10:04,Sil🐨,🥹
"23/12/23,",18:21:16,Alana Ironhack,Si si
"23/12/23,",18:28:05,Sil🐨,valee ya xd con darle a save te deja elegir esq con victor lo hicimos de otra manera y ahora no me salia
"23/12/23,",20:24:27,~ Teresa,"Hoooli! Yo tampoco me he puesto todavía, ya durante la semana intentaré llevar el orden de todo lo que tengo pendiente 😖"
"24/12/23,",9:57:02,Alana Ironhack,Haciendo los labs 
"24/12/23,",10:12:56,~ Teresa,Capyhacker 🙈
"24/12/23,",17:41:21,Sil🐨,Que monada por favor
"24/12/23,",18:57:34,Alana Ironhack,Feliz Navidad mis capibaras!!!
"24/12/23,",19:32:38,Sil🐨,Feliz navidad chicas!!!
"24/12/23,",21:28:10,~ Teresa,Feliz navidad capiiis !!!
"26/12/23,",18:13:02,Alana Ironhack,Tengo una pereza de ponerme con los labs
"26/12/23,",18:13:10,Alana Ironhack,Esq siento que estoy desconectada
"26/12/23,",18:13:14,Alana Ironhack,Y llevo una semana jajaja
"26/12/23,",18:13:25,Alana Ironhack,En un rato me pondré x si alguna se une
"26/12/23,",18:14:30,Sil🐨,Yo me uno en un rato
"26/12/23,",18:14:46,Sil🐨,Siempre digo luego me pongo y luego me da pereza
"26/12/23,",18:15:52,Alana Ironhack,Y yo
"26/12/23,",18:16:01,Alana Ironhack,Pero esq no me acuerdo de nada
"26/12/23,",18:16:14,Alana Ironhack,Como que las últimas clases ya estaba dispersa jaja
"26/12/23,",19:14:50,~ Teresa,Buah yo ahora cuando llegue a casa también me obligo al menos a acabar el lab de las hipótesis
"26/12/23,",19:15:23,~ Teresa,Si somos
"26/12/23,",19:43:10,Sil🐨,Me está dando pereza 🫠
"26/12/23,",19:46:24,Alana Ironhack,Y a mí jajaj
"26/12/23,",20:19:21,~ Teresa,Venga culillos al menos una hora productiva
"26/12/23,",20:19:35,~ Teresa,Total hasta la cena y ya el sentimiento es de productividad
"26/12/23,",20:20:54,Alana Ironhack,Yo ya estoy encendiendo el ordenador
"26/12/23,",20:22:40,~ Teresa,"Vamos, otra que se suma"
"26/12/23,",20:23:00,~ Teresa,"El hecho de tener la calefacción cerca ayuda, muévete el ordenador a un radiador"
"26/12/23,",20:23:02,~ Teresa,Créeme
"26/12/23,",20:23:31,Sil🐨,Venga voy a por el ordena
"26/12/23,",20:24:34,~ Teresa,"Piensa en la cena, cuánto antes te pongas antes comes rico"
"26/12/23,",20:29:41,Sil🐨,ya cene jajjajaja
"26/12/23,",20:29:50,Sil🐨,tenia hambre
"26/12/23,",20:30:27,Sil🐨,con que os vais a poner
"26/12/23,",20:31:00,Alana Ironhack,Con el de my sql
"26/12/23,",20:31:16,Sil🐨,ese es facil
"26/12/23,",20:31:37,Sil🐨,es lo que estuvimos haciendo el otro dia
"26/12/23,",20:32:26,Alana Ironhack,El que si ya es diferente es el de azure vdd ?
"26/12/23,",20:33:00,Sil🐨,es el de los coches lo que hicimos primero con victor
"26/12/23,",20:33:27,Sil🐨,a mi me a pasado que lo estaba haciendo con azure y tengo un monton de tablas creadas
"26/12/23,",20:34:25,~ Teresa,Y eso es lo que había que conseguir?
"26/12/23,",20:34:42,~ Teresa,Yo tengo retrasados de estadística así que partido a partido
